,acousticness,album_names,artist_name,audio_mode,audio_valence,danceability,energy,instrumentalness,key,liveness,loudness,song_duration_ms,song_name,song_popularity,speechiness,tempo,time_signature,yt_max_views
8740,0.155,The Ultimate Collection,George Benson,0.0,0.539,0.469,0.29600000000000004,1.6100000000000002e-05,0.0,0.0878,-14.145999999999999,196920.0,This Masquerade,50.0,0.0356,180.68599999999998,4.0,6300000.0
8741,0.0269,Listen,Tim Bowman Jr.,1.0,0.413,0.355,0.821,0.0,1.0,0.121,-4.958,295213.0,Your Love,49.0,0.237,92.59100000000001,4.0,2200000.0
8742,0.20199999999999999,Marcus,Marcus Miller,0.0,0.493,0.61,0.562,0.0059700000000000005,10.0,0.155,-6.025,300506.0,Free,40.0,0.0399,178.02900000000002,4.0,234000.0
8743,0.7809999999999999,Leslie Odom Jr.,Leslie Odom Jr.,0.0,0.4970000000000001,0.364,0.532,0.0,7.0,0.0971,-11.946,191213.0,Autumn Leaves,11.0,0.0312,78.444,4.0,757000.0
8744,0.753,Peace+Love (feat. Jarrod Lawson & Tony Ozier),Farnell Newton,0.0,0.33799999999999997,0.539,0.5579999999999999,0.00115,4.0,0.0993,-9.025,264267.0,Peace+Love (feat. Jarrod Lawson & Tony Ozier),46.0,0.0846,77.63600000000002,4.0,13000.0
8745,0.0227,Drip,Luke James,0.0,0.40299999999999997,0.617,0.418,5.19e-06,6.0,0.0854,-5.228,217253.0,Drip,54.0,0.0441,73.018,4.0,1100000.0
8746,0.0596,Luh Ya,Marsha Ambrosius,0.0,0.257,0.49,0.605,0.0,9.0,0.107,-8.765,213356.0,Luh Ya,52.0,0.419,180.109,4.0,617000.0
8747,0.316,Deva Mahal,Deva Mahal,0.0,0.695,0.6579999999999999,0.6729999999999999,0.0,3.0,0.0807,-6.362,216942.0,Run Deep,37.0,0.0512,90.617,4.0,199000.0
8748,0.7490000000000001,Voyager,Moonchild,0.0,0.39399999999999996,0.616,0.5329999999999999,0.000181,5.0,0.321,-11.120999999999999,262253.0,Show The Way,12.0,0.126,90.007,4.0,57000.0
8749,0.48200000000000004,Autumn,Brandon Banks,0.0,0.344,0.428,0.515,0.0,1.0,0.0972,-9.265,217906.0,Autumn,48.0,0.0656,130.124,4.0,114000.0
8750,0.46399999999999997,Mama's Gun,Erykah Badu,0.0,0.124,0.46799999999999997,0.149,0.000276,5.0,0.152,-13.975999999999999,430000.0,Orange Moon,54.0,0.0363,97.965,3.0,2400000.0
8751,0.6829999999999999,The Very Best of the Stylistics ... And More!,The Stylistics,0.0,0.764,0.7240000000000001,0.495,4.31e-06,4.0,0.3670000000000001,-9.06,213800.0,People Make the World Go Round,50.0,0.052000000000000005,83.119,4.0,8199999.999999999
8752,0.821,In Tongues,Joji,1.0,0.10099999999999999,0.607,0.259,0.000172,10.0,0.561,-13.03,202102.0,Will He,48.0,0.0481,116.134,4.0,63000000.0
8753,0.13,Legacy of Love,Kindred The Family Soul,1.0,0.314,0.652,0.687,0.0,2.0,0.35100000000000003,-5.607,172008.0,Going All the Way,48.0,0.0456,89.99600000000002,4.0,6500000.0
8754,0.0238,Honest,MAJOR.,1.0,0.17300000000000001,0.419,0.541,0.0,0.0,0.10300000000000001,-5.8260000000000005,232135.0,Honest,46.0,0.0388,147.416,4.0,2900000.0
8755,0.444,You & I - Single,Raul Midon,1.0,0.618,0.531,0.569,0.0,0.0,0.0903,-9.35,222492.0,You & I,11.0,0.0428,73.503,3.0,126000000.0
8756,0.741,Lalah Hathaway Live!,Lalah Hathaway,1.0,0.0633,0.47200000000000003,0.317,0.0,7.0,0.153,-12.154000000000002,233826.0,Mirror (Live),51.0,0.0309,65.108,4.0,996000.0
8757,0.0462,Greatest Hits Singles,Isaac Hayes,1.0,0.40700000000000003,0.313,0.34,0.000465,6.0,0.0735,-15.315,273066.0,Walk On By,57.0,0.0504,145.955,4.0,8199999.999999999
8758,0.39399999999999996,Earth,Eric Roberson,1.0,0.319,0.727,0.7170000000000001,0.00564,1.0,0.111,-7.739,384840.0,Superman,45.0,0.0474,94.959,4.0,45000.0
8759,0.0598,Instant Vintage,Raphael Saadiq,0.0,0.845,0.875,0.435,3.66e-05,10.0,0.0949,-8.516,183293.0,Still Ray,52.0,0.0379,83.79799999999999,4.0,2200000.0
8760,0.00464,MEG MAC,Meg Mac,1.0,0.19,0.565,0.48200000000000004,4.1700000000000004e-05,7.0,0.27,-7.709,243071.0,Grandma's Hands,45.0,0.0489,78.0,4.0,1400000.0
8761,0.0616,...and then you shoot your cousin,The Roots,0.0,0.5479999999999999,0.858,0.5479999999999999,0.0015,5.0,0.0772,-12.677,306213.0,Tomorrow,50.0,0.182,75.992,4.0,98000.0
